Timestamp,Range_m,SNR_dB
2025-05-05 10:34:12.157,102.2,-59.4439220762947
2025-05-05 10:34:12.275,102.2,-56.6420709227411
2025-05-05 10:34:12.412,58.0748983023327,3.31209924144011
2025-05-05 10:34:12.543,57.9049740019151,5.04412183630462
2025-05-05 10:34:12.675,57.8362873728676,5.19644303651795
2025-05-05 10:34:12.794,57.7981664356994,5.27510144917552
2025-05-05 10:34:12.918,57.7753321126598,5.25251848862262
2025-05-05 10:34:13.039,57.7615046671425,5.23884325699334
2025-05-05 10:34:13.155,57.7532213575286,5.23065113087104
2025-05-05 10:34:13.270,57.7483705501097,5.22585372162006
2025-05-05 10:34:13.392,57.7099389903779,4.59383688443488
2025-05-05 10:34:13.516,57.671507430646,1.96291640643875
2025-05-05 10:34:13.652,57.6330758709141,2.9152324061633
2025-05-05 10:34:13.770,57.5946443111822,2.90526396455793
2025-05-05 10:34:13.888,57.5562127514503,2.3403313115112
2025-05-05 10:34:14.007,57.5177811917185,1.77539865846448
2025-05-05 10:34:14.124,57.4793496319866,1.21046600541775
2025-05-05 10:34:14.243,57.4409180722547,0.645533352371025
2025-05-05 10:34:14.362,57.4024865125228,0.0806006993242967
2025-05-05 10:34:14.491,57.364054952791,0.166741935085998
2025-05-05 10:34:14.626,57.3256233930591,0.162391923427727
2025-05-05 10:34:14.758,57.2871918333272,-0.509760028187728
2025-05-05 10:34:14.877,57.2487602735953,-0.514051748768981
2025-05-05 10:34:15.001,57.2103287138635,-0.44845670143641
2025-05-05 10:34:15.122,57.1718971541316,-0.430019926992138
2025-05-05 10:34:15.243,57.1334655943997,-0.428915358305211
2025-05-05 10:34:15.359,57.0950340346678,-0.427810789618285
2025-05-05 10:34:15.478,57.056602474936,-0.426706220931358
2025-05-05 10:34:15.599,57.0181709152041,-0.425601652244431
2025-05-05 10:34:15.735,56.9797393554722,-0.395634539501842
2025-05-05 10:34:15.856,56.9413077957403,-0.793404625172343
2025-05-05 10:34:15.976,56.9028762360085,-0.546833966917873
2025-05-05 10:34:16.112,56.8644446762766,-0.667157109265535
2025-05-05 10:34:16.230,56.8260131165447,-0.806231134796587
2025-05-05 10:34:16.358,56.7875815568128,-0.911158731776847
2025-05-05 10:34:16.478,56.7491499970809,-0.944559245040697
2025-05-05 10:34:16.599,56.7107184373491,-0.97795975830455
2025-05-05 10:34:16.719,56.6722868776172,-1.0113602715684
2025-05-05 10:34:16.855,56.6338553178853,-1.04476078483225
2025-05-05 10:34:16.972,56.5954237581534,-1.05013152483714
2025-05-05 10:34:17.090,56.5569921984216,-0.813120347013729
2025-05-05 10:34:17.207,56.5185606386897,-0.456459452025967
2025-05-05 10:34:17.324,56.4801290789578,-0.132849545224381
2025-05-05 10:34:17.458,56.4416975192259,0.245328386136737
2025-05-05 10:34:17.586,56.4032659594941,0.623506317497853
2025-05-05 10:34:17.710,56.3648343997622,0.602123921317808
2025-05-05 10:34:17.826,56.3264028400303,0.543632878154433
